full_address,latitude,longitude
"CHEROKEE GUN CLUB, 1700 CANDLER ROAD, GAINESVILLE, GA, USA",34.2445292,-83.80520729999999
"SEATTLE SKEET & TRAP CLUB, 26520-292 ND AVE SE, RAVENSDALE, WA, USA",47.3673497,-121.9387324
"COWICHAN VALLEY TRAP & SKEET, DUNCAN, British Columbia, CAN",48.777684,-123.8053537
"TUCSON TRAP & SKEET CLUB, 7800 WEST OLD AJO HWY, TUCSON, AZ, USA",32.1522915,-111.1361234
"IMPERIAL POLK GUN CLUB, 151 RACE PIT ROAD, WINTERHAVEN, FL, USA",28.0221026,-81.7789751
"MISSION SKEET AND TRAP CLUB, 1306 S CONWAY AVE, MISSION, TX, USA",26.1926141,-98.3299073
"HIGHLAND DEEPHAVEN CLAY PIGEON CLUB LTD, AIRFIELD ROAD, EVANTON, ROSS-SHIRE, Scotland",57.6702262,-4.3121405
"PALATKA SKEET CLUB, 301 SKEET  CLUB  ROAD, PALATKA, FL, USA",29.6514663,-81.6833714
"PORT MALABAR RIFLE AND PISTOL CLUB, 610 HURLEY BLVD SW, PALM BAY, FL, USA",27.9873383,-80.7170467
"FT CAVAZOS SKEET & TRAP CLUB, BLDG 1937 ROD & GUN CLUB LOOP, FORT CAVAZOS, TX, USA",31.1490971,-97.7669737
"GREATER HOUSTON SPORTS CLUB, 6700 MCHARD RD, HOUSTON, TX, USA",29.5756686,-95.4636704
"PURGATORY CLAY SPORTS, 5500 WEST 700 SOUTH, HURRICANE, UT, USA",37.163139,-113.4140431
"FAIRFAX ROD & GUN CLUB, 7039 SIGNAL HILL ROAD, MANASSAS, VA, USA",38.746929,-77.416309
"A614 SHOOTING GROUND, FAR BAULKER FARM, OLD RUFFORD ROAD, NOTTINGHAMSHIRE, England",53.0834882,-1.0823035
"DARTFORD CLAY SPORTS CLUB, 33 ST CATHERINES RD, CHELMSFORD, ESSEX, England",51.7320413,0.4473304
"JAICOA SHOOTING CLUB, CARR 443 KM 4.2 INT, AGUADILLA, Puerto Rico",18.4105914,-67.127749
"NEW MEXICO HIGH SCHOOL CLAY TARGET ASSOCIATION, P.O. BOX 371, ALTO, NM, USA",33.40283850000001,-105.6593161
"COSFORD SHOOTING GROUND, MANOR FARM, COSFORD LAND, RUGBY, England",52.4040227,-1.2761876
"LANGLEY ROD & GUN CLUB, 3854-208TH STREET, LANGLEY, British Columbia, CAN",49.0717237,-122.645528
"BIRCHWOOD RECREATION SHOOTING, MILE 2.5 BIRCHWOOD SPUR LOOP ROAD, CHUGIAK, AK, USA",61.42046019999999,-149.5070539
"REDLANDS SHOOTING PARK, 2125 N. ORANGE ST, REDLANDS, CA, USA",34.0871598,-117.1855295
"CLUB DE TIRO DE FAJARDO INC., BARRÍO QUEBRADA VUELTA FINCA JOSEFA SECTOR SECTOR, CARR 194 INTERIOR, FAJARDO, Puerto Rico",18.309733,-65.63930300000001
"CLAY BUSTERS OF ARIZONA INC, 14623 E WAX WING CT, FOUNTAIN HILLS, AZ, USA",33.620931,-111.7670106
"CORPUS CHRISTI GUN CLUB, 2832 FM 763, CORPUS CHRISTI, TX, USA",27.7117533,-97.4985864
"TRAIL TRAP AND SKEET CLUB, 17601 S.W. 8TH STREET, MIAMI, FL, USA",25.765848,-80.47815709999999
"FORT WORTH TRAP & SKEET CLUB, 1064 FM 2871, FT WORTH, TX, USA",32.6939885,-97.5026249
"ASOCIACION TIRO Y CAZA DE PUERTO RICO GUAYAMA, URBANIZACION BELLO HORIZONTE ,CARRETERA #3 , GUAYAMA, Puerto Rico",18.0727889,-65.873258
"VEGAS SKEET ASSOCIATION, CLARK COUNTY SHOOTING COMPLEX, 11357 N DECATUR BLVD, LAS VEGAS, NV, USA",36.336473,-115.2091453
"COMAL COUNTY SHOOTING SPORTS CLUB, 1898 RITTIMANN ROAD, SPRING BRANCH, TX, USA",29.9129365,-98.4343713
"CALEDONIAN SKEET SHOOTING ASSOCIATION, 385 JULIAN ROAD, GLENROTHES, Scotland",56.2073696,-3.1674386
"KAISERSLAUTERN ROD & GUN CLUB, GERMANY, Germany",49.42565,7.67661
"MARKHAM SKEET AND TRAP CLUB, 16001 W. STATE ROAD 84, SUNRISE, FL, USA",26.1251891,-80.349149
"MISSOULA TRAP & SKEET CLUB, 8650 HWY 10 WEST, MISSOULA, MT, USA",46.9544139,-114.1481932
"CABO ROJO SKEET & GUN CLUB INC., PR-311 KM 1.9 INTERIOR, BO. GUANAJIBO SECTOR LAS DELICIAS, CABO ROJO, Puerto Rico",18.1102392,-67.1603413
"STOCKTON TRAP & SKEET CLUB, 4343 N ASHLEY LN, STOCKTON, CA, USA",38.0084762,-121.218412
"WACO SKEET & TRAP CLUB, 7209 KARL MAY DRIVE, WACO, TX, USA",31.6094779,-97.2111735
"SPORTSMENS CLUB, BLDG  573  BARNES BLVD, MCCHORD AFB, WA, USA",47.1198042,-122.4932956
"CULLMAN COUNTY SHOTGUN CLUB, 300 EAST MOEHRING ROAD, CULLMAN , AL, USA",34.101373,-86.8430918
"TULSA GUN CLUB, 8888 E.  MOHAWK  BLVD, TULSA, OK, USA",36.2294645,-95.8794074
"TERRELL RIFLE AND PISTOL CLUB, 17405 KAUFMAN COUNTY ROAD 345, TERRELL, TX, USA",32.8037459,-96.1407543
"BAUMHOLDER ROD AND GUN CLUB, BAUMHOLDER, Germany",49.6174484,7.3179824
"JACKSONVILLE CLAY TARGET SPORTS, 12125 NEW BERLIN RD, JACKSONVILLE, FL, USA",30.4568759,-81.5559578
"BEXAR COMMUNITY SHOOTING RANGE, 15391 BEXAR BOWLING, MARION, TX, USA",29.4860405,-98.1764287
"VIRGINIA STATE SCTP, PO BOX 552, RUSTBURG, VA, USA",37.2768113,-79.10085430000001
"PONCE SHOTGUN CLUB, BO EL TUQUE, 1121 AVENNIDA BRISAS, PONCE, Puerto Rico",17.9867823,-66.668223
"TSSC SHOTGUN SPORTS, 7664 W ONTARIO PL, LITTLETON, CO, USA",39.5926718,-105.0838409
"ST. AUGUSTINE ROD AND GUN CLUB, 401 GUN CLUB ROAD, ST. AUGUSTINE, FL, USA",29.9719066,-81.3464202
"LAFAYETTE SKEET CLUB, 19212 GLADU ROAD, KAPLAN, LA, USA",30.0668536,-92.2993938
"ROCKFORD SPORTMAN'S CLUB, ROCKFORD, MI, USA",43.16735860000001,-85.5525928
"LIBRARY SPORTSMENS ASSN, 6312  ROUTE  88  SOUTH, FINLEYVILLE, PA, USA",40.2754914,-80.0213375
"HEADLAND SKEET & GUN CLUB, 209 LAGOON RD, HEADLAND, AL, USA",31.3266706,-85.34014630000001
"BAYOU BOEUF SKEET RANGE, 60 MEEKER RD, LECOMPTE, LA, USA",31.0497545,-92.3862598
"OKLAHOMA CITY GUN CLUB,  23787 N HIWASSEE, OKLAHOMA CITY, OK, USA",35.7141762,-97.3006995
"RIVANNA RIFLE & PISTOL CLUB, 1570 OLD LYNCHBURG ROAD, CHARLOTTESVILLE, VA, USA",37.9680871,-78.55008959999999
"REDSTONE ARSENAL MWR, 5139 SPORTSMAN ROAD, REDSTONE ARSENAL, AL, USA",34.6505248,-86.6253261
"SOUTH RIVER GUN CLUB, 5205 HIGHWAY 212 N, COVINGTON, GA, USA",33.5030556,-83.9891667
"MID-CAROLINA GUN CLUB, 1746 KENNERLY RD, ORANGEBURG, SC, USA",33.6172271,-80.92986770000002
"MAUD GUN CLUB, MAUD, TX, USA",33.34333,-94.3217633
"ARMY AVIATION SHOTGUN CLUB, FT NOVOSEL, AL, USA",31.3281875,-85.7045625
